username,location,text,True or Not,isSarcasm,tweet_date,hashtags_extracted,,,,
Digital Cheese,DC Empire,@KopanoTlali @TBYSTweet Based COVID Vaccine Process,,,2022-04-15 18:57:01+00:00,,,,,
Juan A. Marin-Garcia,,"Overcoming enduring inequalities in Global Value Chains? Interpreting the case of Brazil?? Covid-19 vaccine supply through a chess metaphor - Ely L Paiva, Priscila LS Miguel, 2021 https://t.co/FiXLjz3AQO 
Por si os interesa ejemplo para vuestras clases @jpgarciasabater @ralfalla",,,2022-04-15 18:56:45+00:00,,,,,
Krebiozen,London,@AJL037 @BreezerGalway @MsTrixter @Convict025 @Monstercoyliar @WendyOrent @AndrewLazarus4 @mcfunny @Shared_facts @andylumm @IainMulady @SkepticalMutant @MathewMoisture @richykirsh @llambchops @DrDMurray1 @alexisleclezio @Tony__Heller @InCytometry @luke_rakoczy @doom37455413 @TheFreeScot @michaelbranniga @MichaelBuerger8 @Covid19isALie @JimeeLiberty @provaxtexan @zeetubes @MichaelYeadon3 @ConsequentialBr @duderdude2009 @SeriousSkeptic @Kathmarval @j0nnyb0y1 @Fleur_Ru11 @notadroptodrink @dippydappyduck @melcake1000 @AkireTe @SultaneAlexand1 @GeoffSchuler @ItsScienceJim @T33879 @CptMutant @StephenBevan15 @OldIowaGirl @realPitBullDog @ActivistChick7 @RickLazzarini @Ryanleitch18 There's no evidence of an increased risk of a heart attack after a Covid vaccine.,,,2022-04-15 18:56:11+00:00,,,,,
Son Of A Teamster,"Fresno, CA",@AlBowers1 Yes. They method the Centers For Disease Control tracks COVID deaths and incidents of blood clots and heart inflammation and other side effects. You don't like them methodology take it up with them. I won't be taking that vaccine because I trust U.S. government numbers.,,,2022-04-15 18:54:48+00:00,,,,,
Howard Leigh,Right here!,@wignatgroyper @DudleyBenson Rather have a rare vaccine injury than covid. My vaccine made me ill for 1 day only.,,,2022-04-15 18:54:48+00:00,,,,,
Tyler Boyet,United States,"@MandyGifford4 @njokicburner @cenkuygur @mattgaetz @RepMTG @joerogan @billmaher You know people? How many? 
I??e worked with THOUSANDS. The vaccine also isn?? supposed to stop transmission. It prevents severe illness when you get COVID and have been vaccinated. The data doesn?? lie, and I collect it for a living.",,,2022-04-15 18:54:34+00:00,,,,,
****,,AwesomeCapital: Poorer nations shun AstraZeneca COVID vaccine https://t.co/ZdkP4VWmQS,,,2022-04-15 18:54:22+00:00,,,,,
Makolabo Music,,"I never took Huduma number,didn't  get injected with COVID-19 vaccine jab and  nothing https://t.co/OwyrX8qxEo still alive and doing well,so what will convince me to re-register my Sim card? Actually I no longer use Condoms,vitisho https://t.co/WntGRv6Clp the Deep State",,,2022-04-15 18:54:08+00:00,,,,,
Arien Y,,"Sounds crazy. Yes, but that?? the plan. No conspiracy theory.
That is the absurd dream of a few multi-billionaires, including Bill Gates. And the tool for such a control is a universal covid vaccine.",,,2022-04-15 18:53:31+00:00,,,,,
????????,In a van down by the river,"@inkasrain @savelakewoodnj @MarcusBlimi @PressSec Let me see if I got this right, correct me if I?? wrong. Things Biden has made worse or created: border crisis, inflation with recession coming, Afghanistan, China, more covid death under joe than under trump and he?? got the vaccine, hunter Biden and kickbacks what else?",,,2022-04-15 18:53:20+00:00,,,,,
Andrew,"Manitoba, Canada","@garbagetime83 @tuler The cfr for Covid is 1.25%, the all cause mortality rate of the vaccine is under 0.0018%.  How is the vaccine deadlier?",,,2022-04-15 18:53:00+00:00,,,,,
House Mouse,,"@RollRolllarry @ABCNewsLive @AlokPatelMD @US_FDA @Novavax @pfizer @moderna_tx Why are people pushing for another vaccine? ??ovid??has never been isolated and there is no test to detect it. Have people lost their damn minds? There is Walgreens for cold and flu symptoms! ?????????Better yet, stay away from toxins in food and water!",,,2022-04-15 18:52:45+00:00,,,,,
An Actual Train,,@JackPosobiec Tesla funded RNA Covid vaccine labs,,,2022-04-15 18:52:11+00:00,,,,,
WomensPowerCen,,#COVID19Vaccination #COVID19 We arn?? fully safe with #coronavirus #vaccine as #virus changes itself. World needs ways get rid of #lockdown Normally #sold in #Amazon https://t.co/rzyWrMlQr3 we R giving it #FREE https://t.co/mUOK62YavV #COVID19India,,,2022-04-15 18:52:02+00:00,"covid19vaccination,covid19,coronavirus,vaccine,virus,lockdown,sold,amazon,free,covid19india",,,,
Son Of A Teamster,"Fresno, CA",@Truth_in_Number @skot_bot There's a known link between COVID vaccine and heart inflammation too.,,,2022-04-15 18:51:52+00:00,,,,,
Smocking Hot Covfefe,,@RadioFreeTom The argument seems similar to those advocating for herd immunity rather than the COVID vaccine.,,,2022-04-15 18:51:28+00:00,,,,,
City of Pasadena,"Pasadena, CA","Pasadena Public Health Dept. is offering additional Moderna and Pfizer boosters to the following groups who received their first #COVID19 booster at least 4 months ago:
- Everyone age 50+
- Immunocompromised individuals age 12+
View upcoming vax clinics: https://t.co/KoGs7c6N6D https://t.co/mTSbzpHNNV",,,2022-04-15 18:51:01+00:00,covid19,,,,
Freedom Frank,Western Canada,"@whiteknight1173 Yeah, it doesn?? matter dude: we??e already seen DARPA?? report to the inspector general.  Covid is an aerosolized bat vaccine, American made chimera, not snake venom.  It has nothing to do with snakes.",,,2022-04-15 18:50:49+00:00,,,,,
Evie,,"THEY CAN HAVE URINE! BLEACH! HORSE DEWORMER! ETC! 
I'LL TAKE THE VACCINE AND BOOSTERS THEY WORK I GOT COVID AFTER BEING SAFE FOR 2YRS BUT I WASN'T THAT SICK TO BE HOSPITALIZED!
SO PLEASE IF YOU ARE NOT VACCINATED PLEASE GET VACCINATED SAVE YOUR LIFE AND SOMEONE ELSE'S??????https://t.co/EHKP8Sm38C",,,2022-04-15 18:49:49+00:00,,,,,
Dawson Sewell,"Barrie, Ontario",@druende @ChefGruel The vaccine is more of a problem than Covid in dozens of countries around the world already. Soon to be every country. If we had free speech online you would know this already. But we will wait for you to catch up.,,,2022-04-15 18:49:33+00:00,,,,,
HereForTheChanges,,"@mi78396695 @ChrisDungeon Covid ??hot?? flu shot, whats the difference? There?? no Covid vaccine. People who don?? want to have a serious bout of covid got the shot. Human beings aren?? inherently stupid.  They make stupid comments and decisions but they aren?? ??tupid?? ??",,,2022-04-15 18:49:13+00:00,,,,,
Matthew Styles,,"How come ??y body my choice??is a valid argument for abortion, but not a COVID vaccine? So sick of double standards - pick a lane and stay in it #COVID-19",,,2022-04-15 18:48:50+00:00,covid,,,,
shirley ready,,@WFLA @walletmor @WFLASam You probably already are with that government required vaccine they wanted everybody to conform to. GLAD I SAID NO!!! OH AND DIDN'T GET COVID!!! THANK GOODNESS FOR FLORIDA AND DESANTIS!!!!,,,2022-04-15 18:48:23+00:00,,,,,
Jeremy Hill,"Vail, CO","@davegcomedy @eva_pentland @mikeyB2025 Here's a list of questions you haven't answered.

1) how many people have had serious adverse effects from the vaccine
2) what's your theory for why the vaccine got an EUA
3) how long do you think they've been studying mRNA technology
4) are you ok with the non mRNA covid shots",,,2022-04-15 18:48:06+00:00,,,,,
NJDOH,New Jersey,"You can get vaccinated against COVID-19 in the Community Room at the Mansion Apartments in Pine Hill on Wednesday, April 20 from 10:30am to 3pm. Walk ins welcome; no ID, documentation or proof of insurance required. For more information visit https://t.co/57glophnWu https://t.co/ro4idqSfYm",,,2022-04-15 18:48:00+00:00,,,,,
NYCartist,NYC,"@dramaleague Please don?? waive showing vaccine status.  We??e still in a pandemic

Broadway Adjusts COVID Vaccine Requirements, Extends Mask Policy https://t.co/Y3mVjMg3mp",,,2022-04-15 18:48:00+00:00,,,,,
Tom Mischler,,@burycallum @alanvibe @ClareCraigPath Have you got any proper science that shows age adjusted baselines and Covid induced vs vaccine induced? Anecdotes shouldn?? be relied on as evidence.,,,2022-04-15 18:47:15+00:00,,,,,
jules serkin,"Whitstable, Kent. UK",Pfizer &amp; FDA knew Covid Vaccine caused Immunosuppression &amp; VAED/ADE in Feb 2021; and they knew it was killing people ??The Expose  https://t.co/ucyqJ4kIoQ,,,2022-04-15 18:46:12+00:00,,,,,
3x trismegistus,"New York, NY",Pro vaccine or not to much data of side effects that was attempted to be withheld is coming to the light. Kids statistically were never in danger of Covid. The fact that still they advertise and push it to children proves of a sadistic agenda. https://t.co/hcPikfJ8JM,,,2022-04-15 18:46:01+00:00,,,,,
Lauri in AZ,"Yuma, AZ","Would-Be Immigrants Can Get Waivers for COVID-19 Vaccine Requirement: Lawyer

https://t.co/bZC0VHoy4H",,,2022-04-15 18:45:53+00:00,,,,,
Robert,"Podlasie Province, Poland","Last September, Chardy said he was unable to train and play due to complications caused by the COVID-19 vaccine. https://t.co/sd2i51HCq5",,,2022-04-15 18:45:12+00:00,,,,,
Caroly Hofstee,,Have questions about the Supreme Court's recent upholding of the Centers for Medicare and Medicaid COVID-19 #vaccine mandate for workers in #healthcare organizations? We explain the ruling here: https://t.co/YHBgW9TADF https://t.co/tHf48BmWK2,,,2022-04-15 18:45:09+00:00,"vaccine,healthcare",,,,
Andrea's Sweetcakes ????????????,"????Ontario, Canada ????","@HadesBeaver @Clar1nettist @al_koii I was referring to just the covid vaccine.  And the real idiots are the ones that got double jabbed and boosted, and still catch covid!

I had covid, got better and now I have better protection than you dorks that keep getting jabbed!  Say good bye to your immune system ????",,,2022-04-15 18:45:04+00:00,,,,,
Lauri in AZ,"Yuma, AZ","Pfizer to Ask US Regulators to Authorize COVID Vaccine Booster for 5??1 Age Group

https://t.co/f2ojSRblWK",,,2022-04-15 18:44:51+00:00,,,,,
thoughtmachine,,@CTVNews How on earth does it help giving kids a third jab of a vaccine that was specifically made for the original Covid strain?? Should we give them a flu vaccine from 8 years ago while we??e at it..?.two shots is more then enough- and could statistically be argued as not even needed.,,,2022-04-15 18:44:44+00:00,,,,,
Catholic Cares Coalition,,"COVID is not over unless there is global vaccine equity. Thank you to @sistersreport for highlighting leaders in Catholic healthcare &amp; members of the coalition.

https://t.co/WGgV0OtwsW",,,2022-04-15 18:44:32+00:00,,,,,
Adess Singh,,"@bobscartoons @NatalieSuB Covid 19 -- Vaccine mandates

      NEVER HAVE SO MANY
            PAID SO DEARLY
           TO MAKE SO FEW
                     SO RICH
#COVID19 #VaccineMandate #VaccineSideEffects",,,2022-04-15 18:44:32+00:00,"covid19,vaccinemandate,vaccinesideeffects",,,,
TinyMonster,The Unknown,@KevinKileyCA Need to work on the repeal for vaccine mandates in general. Not talking about Covid. Demanding someone receive an injection against medical recommendation is insane. Not everyone can be vaccinated. Can?? believe they did away with med exemption in CA for children.,,,2022-04-15 18:44:20+00:00,,,,,
Nahuel Mallo,,@neolights9 @disclosetv COVID vaccine,,,2022-04-15 18:43:44+00:00,,,,,
Paul Green,,"She tested positive for POTS, MCAS and suspected small fiber neuropathy. ""Post-covid vaccine syndrome"" was mentioned several times in the 100+ pages of doctor's notes -- A diagnosis that is very common among the injured and one you're going to hear a lot more about in the future. https://t.co/CcHJo2Pn76",,,2022-04-15 18:43:29+00:00,,,,,
Jasper 'Lope - Enough is Enough,"West Bay, Northern California","@rr_mandy @danaparish *two weeks later* 
Oh no, where did all these hospitalizations come from??

-Mandy

p.s. COVID can permanently disable you through the vaccine. Take it seriously.",,,2022-04-15 18:43:22+00:00,,,,,
Samuel,South Carolina,"@CallMeArko @sofain The man got covid and died. Now he's a zombie who can still type on Twitter. Without the vaccine, you just die like an anti vaxxer. That's how vaccines work.",,,2022-04-15 18:43:15+00:00,,,,,
PulpNews Crime,USA,COVID-19 vaccine boosters #may be near for #young children - Apr 15 @ 2:40 PM ET https://t.co/8dGZOzCw11,,,2022-04-15 18:42:43+00:00,"may,young",,,,
"Mike D - London, Europe","London, UK","@JuliaHB1 In the vaccine era:

Easter 2021: Deaths around 45 / day and falling - sensible restrictions in place

Easter 2022: Deaths around 280 /day and rising - pretending covid is over.

(7-day averages)

#COVID19 #CovidIsNotOver #torycovidcatastrophe",,,2022-04-15 18:42:35+00:00,"covid19,covidisnotover,torycovidcatastrophe",,,,
Mar Cohan,NorCal,@FreedomHasWon @SPepper1964 I can only deduce that the CCP has zero confidence in the covid vaccine (NOS).,,,2022-04-15 18:42:34+00:00,,,,,
Here's Johnny,circle of champion at pruvit,"@GeorgeTakei Remember when Biden said , ""IF YOU GET THE VACCINE YOU WON'T GET COVID """,,,2022-04-15 18:42:23+00:00,,,,,
josie polhemus,"Gastonia, NC","@BriWagon @JGaffneyUSN Biden entered office on 1/20/21.Covid death rates are 4-6 week lag time. Deaths on 3/1/21 were 505,000. The vaccine was readily available then; unvaccinated people were 10x more likely to die. People opting not to get vaccinated were opting to die. #moron",,,2022-04-15 18:41:32+00:00,moron,,,,
Dan Epstein,Washington/ Geneva,"Compared with a third vaccine dose, a fourth dose of the Pfizer/BioNTech COVID-19 vaccine lowered the risk of infection, symptomatic infection, hospitalization, severe illness, and death 52% to 76%??epending on the measure??mid the??ttps://t.co/sdjQlFHi8f https://t.co/CGZWp8ZJnr",,,2022-04-15 18:41:22+00:00,,,,,
Fovle,,chroniclelive: 'Greece is scrapping Covid rules such as face masks and vaccine passes ' https://t.co/hR3wkfzLKC,,,2022-04-15 18:41:03+00:00,,,,,
Joshua,"Kentucky, USA","@michaelmina_lab @sci_questions Unfortunately @Ocugen has been put on hold from @US_FDA because of manufacturing issues. They are a whole inactivated vax, which would have been interesting for a boost. https://t.co/ix7aF7bVa0",,,2022-04-15 18:41:03+00:00,,,,,
Global Trade Watch,"Washington, D.C.","Covid vaccine inequity is still endangering millions of lives, 16 months and 3 booster shots into vaccination campaigns.
https://t.co/tTbziMHGyG https://t.co/UULieLMT2E",,,2022-04-15 18:41:01+00:00,,,,,
?? ess! ?? hawks' ankles era,PG-15 ,"@thalassashells defo rest up afterwards all the same, the increase in long covid is since vaccine effects and omicron being milder, ppl feel they??e fully recovered but inside ur body is still totally fucked. i have it and ugh ?? feel the need to warn everyone ifjdjdj. take care!!! ??",,,2022-04-15 18:41:00+00:00,,,,,
The Chronicle,"Newcastle upon Tyne, UK",Greece is scrapping Covid rules such as face masks and vaccine passes https://t.co/vAGFsaVeuI,,,2022-04-15 18:41:00+00:00,,,,,
rosegarden,,@FechoLarry @JamieMozeson @Ben_S_Harper My friend was fully vaxxed  caught Covid in hospital &amp; died. I know many more vaccine injured. I'm not naive enough to believe that these previously healthy people were forced to get vaccinated to keep their jobs &amp; coincidentally developed these adverse reactions after the jab.,,,2022-04-15 18:40:17+00:00,,,,,
Trent MCgee,,"@davegawkowski @metsgame @DeeshaThosar @mikemayer22 @timbhealey And it has gotten me this far. I haven't had covid 1 time, don't have the vaccine.",,,2022-04-15 18:40:04+00:00,,,,,
"????€???????aul Gallant, CHE,MHK. He/Him.NL-BC",Unceded Coast Salish Land YVR ,Experts concerned that only 47 per cent of Canadians have received a COVID-19 booster shot https://t.co/mLYmK4nQBR #covid19,,,2022-04-15 18:39:20+00:00,covid19,,,,
Cristian Dragoi,Canada,"Which ""experts""? 
From WEF?
https://t.co/fuKWcbvYPc",,,2022-04-15 18:38:53+00:00,,,,,
Tyler Sovoda,"Kenner, LA",@EFu2mong @rabidwulf @TomDoubting @JoJoFromJerz @RepMTG @ABC @jimmykimmel @CapitolPolice I wouldn?? dream of getting the death jab. It doesn?? prevent you from getting it. So don?? call it a vaccine. That?? a lie. They never isolated the ??riginal covid??sorry flu strain in the first place. So how do you get mutations you can confirm? You can??. You were lied to.,,,2022-04-15 18:38:49+00:00,,,,,
ZC,,"Stop the COVID-19 vaccines insanity.
It takes a decade to develop safe vaccine.
Concentrate on therapeutics. There is plenty anti viral medication that works.
COVID-19 terrorist doctors/politicians must be held accountable. https://t.co/yDFprcw5hh",,,2022-04-15 18:38:35+00:00,,,,,
Ken Lau,,@elonmusk Please buy out Novavax instead of Twitter! Good Covid vaccine and pipeline but really bad management! Very cheap now only 4.8B!,,,2022-04-15 18:38:14+00:00,,,,,
An Actual Train,,@JackPosobiec @elonmusk He funded a vaccine. Ya??l still love him? https://t.co/xFllTeCeH6,,,2022-04-15 18:38:03+00:00,,,,,
phelanm,,"@DrGuru_ the ""VACCINE""(TM) and ""TEST""(TM) don't even pretend to ""WORK""(TM) ""..most people who ..die with Covid ..vaccinated.."": https://t.co/pYCefQ3TLm ""..Embiid is vaccinated ..tested positive for COVID-19 ..out ..until he is able to test negative twice.."": https://t.co/55D7IqfOg5",,,2022-04-15 18:37:57+00:00,,,,,
Triathlon Dad,,"@Prayin4America @Sandia_1985 @MiscSilliness @paulanoukas Right. It could had been having had covid. Marathon was on October. So I wonder when the vaccine dose was done. September, maybe October?  

A runner like her would had ran several training runs at race pace or slightly faster than race pace in prep for Boston.",,,2022-04-15 18:37:41+00:00,,,,,
The_G,,"@Lukewearechange Hey Luke are you one of the people who think the government is implanting microchips with the Covid vaccine?  LOL Now go attack the Capitol, I know you guys are good at that then claim to be a good American.",,,2022-04-15 18:37:37+00:00,,,,,
phelanm,,"@DrGuru_ the ""VACCINE""(TM) and ""TEST""(TM) don't even pretend to ""WORK""(TM) ""..most people who ..die with Covid ..vaccinated.."": https://t.co/pYCefQ3TLm ""..Embiid is vaccinated ..tested positive for COVID-19 ..out ..until he is able to test negative twice.."": https://t.co/55D7IqfOg5",,,2022-04-15 18:37:21+00:00,,,,,
Angry Mema,,@emmanue00857463 @TastyMorsel6 @howienudet @IZMKS44 @RonFancy @JamesCa70626795 @MusubiBrand @alshadowdancer @MJB24681 @LifeNyc2 @Txsgntlmn737 @jimaw63 @2_drac @NatForTrump2024 @Godslightangel7 @JAlan21813286 @VinceGottalotta @JorgeSoros7 @lostandlovinit @ghost321 @Andy51115454 @jbizzy6969 @Klee34036780 @vinniediego @HuntersArtWork @najjar_richard @hrt6017 @VickiBevins @ShellyRKirchoff @Billenjoylife @AngryFleas @tallnblonde1 @BuildBetta @charliedaniel06 @nitros1954 @HamRadioJoe @rebelvanhalen @SalsaPrice @Huckleberry1023 @FrankGillilan13 @Annie20554592 @MattGla43952282 @izmks16 @PETERSARLENE @JamesLauder12 @ThereseOSulliv2 @BlakDragonClaw @dogsdontliket @tRick_the_only @realZacharyKent wow that's a lot of rage typing Doc.  When did I say I wanted to withhold services to people afraid to take the Trump vaccine?  I have said they should be on the hook to pay their whole hospital bill should they catch covid and need the hospital to save them. Did that upset you?,,,2022-04-15 18:36:51+00:00,,,,,
Gordon Kam,,Stupid and Shame on china?? leadership uneducated handle Covid. There are effective vaccine $INO. Why turning their own cities into this??? https://t.co/x1Q4AFMZxe,,,2022-04-15 18:36:32+00:00,,,,,
Mensus,,"Pfizer's marketing division, the CDC, has advised against taking the J&amp;J clot shot. What did Aspen expect would happen?

@drnathimdladla @ProfTimNoakes 

https://t.co/BcEQUuHnuy",,,2022-04-15 18:36:31+00:00,,,,,
Ya Boy Juan ???,Van Nuys ,GET YOUR FUCKEN COVID VACCINE SHIT. IF IT WAS UP TO ME YALL WOULDN?? EVEN BEEN SEEN BY MY DOCTOR ??,,,2022-04-15 18:36:15+00:00,,,,,
KIPP DC Public Schools,"Washington, D.C.",Visit the link here to sign up for these two COVID vaccination clinics hosted at KIPP DC Benning Campus and KIPP DC College Preparatory: https://t.co/dO7mkNzvef https://t.co/6CF27ksJYd,,,2022-04-15 18:35:33+00:00,,,,,
JoeShow,"Quincy, MA","@notconditoned @mattyls37 @kirk_lt @MayorWu MEDIA??-1???Cause2???EFFECT:
The""king""vs.The FakeNewZ
Its not new. Analyze FACTS:
2020 ELECTION YR
The FakeNewZ media:No clue, I GUESS wear a mask,stay home,NO vaccine.
The. RALLIES??
#News1man UNQUESTIONED
Venue&amp;hat income
????our HEALTH
????he Free Press
Why still COVID?Conservatives https://t.co/s64gGIlJxQ",,,2022-04-15 18:34:57+00:00,news1man,,,,
MDUSD,"Central Contra Costa Co., CA","CDPH: To ensure sufficient time for successful implementation of new vaccine requirements, CA will not initiate COVID-19 vaccine requirement for 22-23 school year. Any vaccine requirements would not take effect until after full FDA approval 7/1/23 or later https://t.co/1KiHQrNh7t",,,2022-04-15 18:34:36+00:00,,,,,
Cee Bow,"Brooklyn, NY",I need a classaction attorney for those who died and families affected before the COVID-19 vaccine was created. The lies came from the Whitehouse &amp; so call trusted government agencies spewing &amp; suppressing info for political reasons causing death. One is how it was transmitted.,,,2022-04-15 18:34:27+00:00,,,,,
Ron Lin,San Francisco,"5. Data mount on vaccine safety

Millions of doses of vaccines have been given to children, and the data are only growing showing the safety of vaccines

https://t.co/SNJgJTjeJx",,,2022-04-15 18:34:24+00:00,,,,,
Joshua Clark Davis,"Baltimore, Maryland","Just heard that the University System of Maryland is eliminating its COVID vaccine mandate for the next academic year, which is a real shame if it?? true.",,,2022-04-15 18:34:01+00:00,,,,,
Think Global Health,,"Gaps in China?? initial vaccine rollout and the weakness of some of its vaccines have left the country especially vulnerable to omicron.  

Here?? what China, and the world, can do to help boost its resilience:

https://t.co/m7Yw9IfYDA",,,2022-04-15 18:33:49+00:00,,,,,
A glue guy,Zoorland,"@ryanrlskelton @rodd_heino I have some background in reading and understanding those sort of papers, but instead of spending a lot of time on explaining, I'll leave this here

https://t.co/KVh9jopGxV",,,2022-04-15 18:33:35+00:00,,,,,
Shyvanas_pet ???,,"@JoFloHoosier @Brendan1987 @GeorgeTakei Hunter bidens laptop.
Lab leak.
Double maskes.
Vaccine prevents covid spread.
Rittenhouse shot two black men.
Russian election interference 2016-2019.",,,2022-04-15 18:33:27+00:00,,,,,
?????????????? ????,"Iowa, USA","you cannot convince me joe biden isn?? a republican in disguise. (also, i lean leftist so don?? come at me. just look at his history, state of the union, and how he ended funding for the covid vaccine for uninsured the same day he tweeted that healthcare is a right).",,,2022-04-15 18:33:27+00:00,,,,,
Alexia,Alice in Wiredland,where gonna infect every American with Covid CIA bimbo vaccine and buster your gonna like it!,,,2022-04-15 18:33:17+00:00,,,,,
????,203 - 843,LMFAO why this girl just got caught by Tim tryna put a bandaid on &amp; leave without actually getting the COVID vaccine bc ??er card was already filled out and she figured she didn?? have to actually get it??girl ??,,,2022-04-15 18:33:03+00:00,,,,,
'Women's Power' Book,UK,#coronavirus has effected us in so many way. #vaccine has helped &amp; #vaccination is moving ahead but fear still remains. Will lockown continue? What is #lockdown doing to us? To know either buy ebook at amazon https://t.co/QY6jc5L9w4 or read for FREE here https://t.co/BlPqLm179G,,,2022-04-15 18:33:02+00:00,"coronavirus,vaccine,vaccination,lockdown",,,,
Physician's Weekly,"Basking Ridge, NJ","strategy that examines topics w/ your colleagues' perspectives through multiple lenses to illustrate the impact on their (&amp; your) practice!

First topic is pediatric #COVID19 #VaccineHesitancy
https://t.co/TeLqcVbIpS

#MedTwitter #SoMeDocs",,,2022-04-15 18:33:00+00:00,"covid19,vaccinehesitancy,medtwitter,somedocs",,,,
Augusta Health,"Fishersville, VA","COVD and Vaccine Update: Please note, the Vaccination Clinic and MABS infusion center will be combined at one location in the Waynesboro Outpatient Center at 201 Lew Dewitt Boulevard in Waynesboro.
 https://t.co/WnwwhHj5MK",,,2022-04-15 18:32:24+00:00,,,,,
Lumeckos (??~League Era~??),"Washington, USA","There was this cute guy in my class we been getting along... And we were in pairs and today Covid was brought up and he expressed to me his very right leaning opinions on mask and the vaccine ??

That unvaccinated dick about to go crazy ??",,,2022-04-15 18:31:55+00:00,,,,,
Boerehart,????,"@LBoogie1919 Ask yourself tje question.... Why would the governments not do it. And then at the same time ""FORCING"" you to take covid vaccine venom and impose mandates on us if you dont. All makes fkng sense people.",,,2022-04-15 18:31:47+00:00,,,,,
sloth,they/them,sisters friend talking about not getting the vaccine bc she had covid thrice. maybe you had covid 3 times bc you didn?? get the vaccine?,,,2022-04-15 18:31:36+00:00,,,,,
??arelessGreek????????????Toronto????but my??'s in????,@TheTimesofMalta From covid or vaccine??,,,2022-04-15 18:31:12+00:00,,,,,,
???????? ???????????? ??????????,World,Albumedix and Valneva's collaboration to include newly approved inactivated COVID-19 vaccine https://t.co/LsZUG03giv #Companies https://t.co/eQQT8822Zi #news 190,,,2022-04-15 18:30:14+00:00,"companies,news",,,,
"???????""Rhode Island"," USA""","This nigga talking about he just want to meat me up, nothing else.
I?? like ??ord??but I got covid I cant link.
and he?? like ??oh I got the vaccine so I??l be good????????",,,2022-04-15 18:30:10+00:00,,,,,
???????? ???????????? ??????????,World,UK approves Moderna COVID-19 vaccine for children aged 6-11 https://t.co/sh8U4wPdz3 #Health https://t.co/eQQT8822Zi #news 860,,,2022-04-15 18:30:09+00:00,"health,news",,,,
TBoy1BvrN2K,,@MultCoHealth @multco Kids don?? need the Vaccine. Being children have close to ??ero??chance of dying from Covid. By publishing this garage MC you are promoting child abuse. Nothing like using children as lab rats to test a vaccine.,,,2022-04-15 18:29:29+00:00,,,,,
ZC,,"Stop the COVID-19 vaccines insanity.
It takes a decade to develop safe vaccine.
Concentrate on therapeutics. There is plenty anti viral medication that works.
COVID-19 terrorist doctors/politicians must be held accountable. https://t.co/J1H4Gcuix8",,,2022-04-15 18:29:12+00:00,,,,,
Your neighbor,,"@hinz_tamara @zakvescera The Irony is that the media has bin using base rate fallacy this hole time to sell the fear and a Vaccine that we now know doesn't prevent you from getting, spreading or dieing from #COVID",,,2022-04-15 18:29:05+00:00,covid,,,,
Braden Carmen,"Dunkirk, NY",The A?? are the first team to be impacted by the Covid vaccine requirement to play in Toronto. https://t.co/wY647icY0a,,,2022-04-15 18:28:44+00:00,,,,,
"Tim Ellis, Forward Toronto??","Toronto, ON","@VoteAshcraft @yaneerbaryam @DrEricDing Our best bet for stopping COVID is the same thing that stopped cholera, e.coli, and so forth: strong investment in public health infrastructure.

https://t.co/fENWcp7eG0

But since we're all-in on neoliberalism lately, yeah, the pan-variant vaccine is the next best thing.",,,2022-04-15 18:28:23+00:00,,,,,
Momma ?? Warrior???????United States,IL Corrections employees sue state over COVID-19 vaccine or testing mandate https://t.co/aWiVu3VZ7P via @thecentersquare,,,2022-04-15 18:27:55+00:00,,,,,,
ClimateJusticeIL06,"Illinois, USA","@emilyslist @Marie4Congress When the Government was Buying Vaccines, Rep. Newman was Trading ???????? MILLIONS IN STOCKS 

https://t.co/9F5mmLTE7E",,,2022-04-15 18:27:15+00:00,,,,,
Tribal Fusion,,"@NotOfThisGalaxy @UnityNewsNet My government cares so much it sent one covid vaccine letter in March 2021 and haven't bothered me since, lucky I binned it ??",,,2022-04-15 18:26:45+00:00,,,,,
Dave Bondy,"Flint, MI","MSU to continue Covid-19 vaccine mandate, lift face-covering requirement.   https://t.co/vn86lTYxal",,,2022-04-15 18:26:20+00:00,,,,,
Fiona Schreuder ????????????????????,"Swansea, Wales",@hannahcookdpt Great idea! Our Trust had a vaccine bus to make covid vaccines more accessible.,,,2022-04-15 18:26:19+00:00,,,,,
???????? ?????????,,"@Cindy69632818 @_shannonkc Comirnaty IS Pfizer's vaccine. The only change was the name. For example, Tylenol is a brand of Acetaminophen; Comirnaty is Pfizer's brand of the COVID vaccine.",,,2022-04-15 18:25:00+00:00,,,,,
tom hathaway,"East, England",Additional COVID vaccine helps protect transplant patients https://t.co/qyFcc0CQma,,,2022-04-15 18:24:32+00:00,,,,,
AdelaideT?? ??? ?? ?? ???,Northumbria,@AlanKay2 @silverrich39 Sorry to have to tell you but Russia has not been Communist for over 30 years.  It's Tories and Johnson who take Russian money for their party. Johnson aspires to be a kleptocrat like Putin.  Corbyn man of peace. Are you sure it was a covid vaccine they gave you? Seek help.,,,2022-04-15 18:23:35+00:00,,,,,
Ahlswede Collection,"Chico, California","@DeanScorpion_ Wait, they're still doing covid protocols? Why tf is this still happening post-vaccine? So dumb.",,,2022-04-15 18:23:29+00:00,,,,,
MISTERNICEGUY,,@OccupyDemocrats That answer insinuates that the vaccine prevents covid.,,,2022-04-15 18:23:24+00:00,,,,,
